Iteration	Best Cost	Tabu Violations	Aspiration Uses
1	98	0	0
2	97	0	0
3	96	0	0
4	95	0	0
5	94	0	0
6	93	0	0
7	92	0	0
8	91	0	0
9	90	0	0
10	89	0	0
11	88	0	0
12	87	0	0
13	86	0	0
14	85	0	0
15	84	0	0
16	83	0	0
17	82	0	0
18	81	0	0
19	80	0	0
20	79	0	0
21	78	0	0
22	77	0	0
23	76	0	0
24	75	0	0
25	74	0	0
26	73	0	0
27	72	0	0
28	71	0	0
29	70	0	0
30	69	0	0
31	68	0	0
32	67	0	0
33	66	0	0
34	65	0	0
35	64	0	0
36	63	0	0
37	62	0	0
38	61	0	0
39	60	0	0
40	59	0	0
41	58	0	0
42	57	0	0
43	56	0	0
44	55	0	0
45	54	0	0
46	53	0	0
47	52	0	0
48	51	0	0
49	50	0	0
50	49	0	0
51	48	0	0
52	48	1	0
53	48	1	0
54	48	1	0
55	48	1	0
56	47	0	0
57	47	1	0
58	47	1	0
59	47	1	0
60	47	1	0
61	47	1	0
62	47	1	0
63	47	1	0
64	47	1	0
65	47	1	0
66	47	1	0
67	47	1	0
68	47	1	0
69	47	1	0
70	47	1	0
71	47	1	0
72	47	1	0
73	47	1	0
74	47	1	0
75	47	1	0
76	47	1	0
77	47	1	0
78	47	1	0
79	47	1	0
80	47	1	0
81	47	1	0
82	47	1	0
83	47	1	0
84	47	1	0
85	47	1	0
86	47	1	0
87	47	1	0
88	47	1	0
89	47	1	0
90	47	1	0
91	47	1	0
92	47	1	0
93	47	1	0
94	47	1	0
95	47	1	0
96	47	1	0
97	47	1	0
98	47	1	0
99	47	1	0
100	47	1	0
101	47	1	0
102	47	1	0
103	47	1	0
104	47	1	0
105	47	1	0
106	47	1	0
107	47	1	0
108	47	1	0
109	47	1	0
110	47	1	0
111	47	1	0
112	47	1	0
113	47	1	0
114	47	1	0
115	47	1	0
116	47	1	0
117	47	1	0
118	47	1	0
119	47	1	0
120	47	1	0
121	47	1	0
122	47	1	0
123	47	1	0
124	47	1	0
125	47	1	0
126	47	1	0
127	47	1	0
128	47	1	0
129	47	1	0
130	47	1	0
131	47	1	0
132	47	1	0
133	47	1	0
134	47	1	0
135	47	1	0
136	47	1	0
137	47	1	0
138	47	1	0
139	47	1	0
140	47	1	0
141	47	1	0
142	47	1	0
143	47	1	0
144	47	1	0
145	47	1	0
146	47	1	0
147	47	1	0
148	47	1	0
149	47	1	0
150	47	1	0
151	47	1	0
152	47	1	0
153	47	1	0
154	47	1	0
155	47	1	0
156	47	1	0
157	47	1	0
158	47	1	0
159	47	1	0
160	47	1	0
161	47	1	0
162	47	1	0
163	47	1	0
164	47	1	0
165	47	1	0
166	47	1	0
167	47	1	0
168	47	1	0
169	47	1	0
170	47	1	0
171	47	1	0
172	47	1	0
173	47	1	0
174	47	1	0
175	47	1	0
176	47	1	0
177	47	1	0
178	47	1	0
179	47	1	0
180	47	1	0
181	47	1	0
182	47	1	0
183	47	1	0
184	47	1	0
185	47	1	0
186	47	1	0
187	47	1	0
188	47	1	0
189	47	1	0
190	47	1	0
191	47	1	0
192	47	1	0
193	47	1	0
194	47	1	0
195	47	1	0
196	47	1	0
197	47	1	0
198	47	1	0
199	47	1	0
200	47	1	0
201	47	1	0
202	47	1	0
203	47	1	0
204	47	1	0
205	47	1	0
206	47	1	0
207	47	1	0
208	47	1	0
209	47	1	0
210	47	1	0
211	47	1	0
212	47	1	0
213	47	1	0
214	47	1	0
215	47	1	0
216	47	1	0
217	47	1	0
218	47	1	0
219	47	1	0
220	47	1	0
221	47	1	0
222	47	1	0
223	47	1	0
224	47	1	0
225	47	1	0
226	47	1	0
227	47	1	0
228	47	1	0
229	47	1	0
230	47	1	0
231	47	1	0
232	47	1	0
233	47	1	0
234	47	1	0
235	47	1	0
236	47	1	0
237	47	1	0
238	47	1	0
239	47	1	0
240	47	1	0
